player,kills,deaths,assists,doublekills,triplekills,quadrakills,pentakills,damagetochampions,dpm,damageshare,damagetakenperminute,wardsplaced,wpm,controlwardsbought,vspm,totalgold,earned gpm,earnedgoldshare,cspm,golddiffat10,xpdiffat10,csdiffat10,golddiffat15,xpdiffat15,csdiffat15,gamelength
Neo,3.7273,2.4545,4.0909,0.1818,0.0,0.0,0.0,18501.7273,559.8378,0.2489,469.6722,8.4545,0.2559,8.0,1.4385,13671.4545,281.1105,0.2647,8.5542,-162.1818,-100.6364,-7.3636,-489.7273,-226.7273,-10.0,1990.0
Chime,0.3889,2.2778,9.1111,0.0,0.0,0.0,0.0,6464.8333,182.0244,0.0781,380.2776,42.0556,1.1647,11.3333,2.8948,7863.0556,96.7892,0.0893,0.7535,-91.4444,-51.0556,0.5556,-40.9444,-26.2222,1.7222,2078.3889
Gori,3.625,2.1875,5.3125,0.375,0.0,0.0,0.0,22464.0625,674.1682,0.3055,588.67,9.8125,0.2926,6.0625,1.1742,13458.1875,279.3568,0.2423,8.6263,13.6875,-17.375,-2.0,10.6875,-66.1875,-1.375,1975.9375
IgNar,0.4167,2.6667,6.25,0.0,0.0,0.0,0.0,6005.1667,171.8709,0.0817,347.1536,34.9167,0.9479,15.25,2.6793,7361.0,80.9957,0.0816,0.6742,22.5833,-19.5833,-2.3333,-157.9167,-156.8333,-5.25,2075.5
Eyla,0.5,2.6,9.0,0.1,0.0,0.0,0.0,4584.8,144.8612,0.0707,322.3503,42.6,1.3392,12.3,3.3598,7876.6,113.6432,0.0967,1.0095,-38.5,75.4,0.8,-102.2,62.8,-1.1,1922.4
EMENES,2.6,2.8,5.3,0.1,0.1,0.0,0.0,18332.8,609.4015,0.2357,530.4323,12.1,0.4088,6.1,1.559,12366.2,281.651,0.2238,8.4405,70.5,-5.3,0.9,173.2,5.9,6.2,1807.0
Tomo,3.5556,3.1111,4.6667,0.5556,0.1111,0.0,0.0,26735.7778,712.7326,0.3154,495.6464,9.5556,0.2635,3.1111,1.0899,14815.0,274.2966,0.2708,9.1867,-7.0,66.4444,0.2222,-220.2222,-30.3333,-3.7778,2164.6667
WildTurtle,4.8571,2.4286,4.8571,0.4286,0.0,0.0,0.0,28494.8571,743.4167,0.3225,416.5555,13.1429,0.363,5.1429,1.1195,16326.8571,309.036,0.287,9.6306,156.7143,230.5714,5.4286,66.4286,2.5714,0.8571,2217.2857
Bolulu,3.1429,1.5714,5.8571,0.1429,0.0,0.0,0.0,24542.0,649.5727,0.2932,424.1613,16.7143,0.4819,6.4286,0.8927,12774.5714,232.9149,0.2257,7.6738,-255.4286,-126.8571,-3.1429,-228.5714,-91.2857,-3.7143,2087.7143
ry0ma,5.0,1.0,6.0,0.0,0.0,0.0,0.0,29374.0,768.6175,0.2799,563.3144,14.0,0.3663,5.0,1.3345,17568.0,330.0916,0.2598,9.7078,65.0,-35.0,5.0,-64.0,-350.0,1.0,2293.0
Hauntzer,2.5,1.0,5.0,0.0,0.0,0.0,0.0,13849.5,463.3162,0.2133,685.3954,15.0,0.5006,5.5,1.3097,10504.5,219.8601,0.2009,7.2674,-430.0,-91.5,-10.0,-931.0,-281.5,-14.5,1798.5
