,gameid,result,ckpm,gspd,golddiffat15,firstblood,firsttower,firsttothreetowers,turretplates,firstherald,firstdragon,dragons,minionkills,monsterkills,wpm,wcpm
20842,ESPORTSTMNT02_3151621,1,0.5515,0.12457,1944.0,0.0,1.0,1.0,6.0,1.0,1.0,0.4,0.499,0.508,0.0,1.7997
5278,ESPORTSTMNT02_3140782,0,0.4435,-0.00672454,3284.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,0.51,0.488,4.2133,1.9958
31451,ESPORTSTMNT03_3116597,1,0.7941,0.0598226,4506.0,1.0,1.0,1.0,11.0,1.0,1.0,0.8,0.502,0.522,3.4706,1.4706
20806,ESPORTSTMNT02_3152568,0,0.2818,-0.140341,-673.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.504,0.459,0.0,1.0334
14710,ESPORTSTMNT01_3308753,1,0.8919,0.162656,-194.0,1.0,1.0,1.0,6.0,1.0,0.0,0.4,0.513,0.51,3.3521,1.7837
14662,ESPORTSTMNT01_3307762,1,0.8061,0.0842452,-747.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6,0.493,0.521,3.1382,1.4971
31450,ESPORTSTMNT03_3116597,0,0.7941,-0.0598226,-4506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.498,0.478,3.4118,1.8529
20687,ESPORTSTMNT02_3153529,1,0.6742,0.0709492,164.0,0.0,0.0,1.0,6.0,0.0,1.0,1.0,0.514,0.557,0.0,1.5506
20807,ESPORTSTMNT02_3152568,1,0.2818,0.140341,673.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.496,0.541,0.0,1.5971
5231,ESPORTSTMNT02_3141821,0,0.524,-0.14065,-6443.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.488,0.454,3.1769,2.5218
25978,ESPORTSTMNT02_3165238,1,0.7034,0.0397239,203.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,0.514,0.543,0.0,1.3456
25210,ESPORTSTMNT02_3161695,1,0.8911,0.145683,1989.0,0.0,1.0,1.0,5.0,1.0,0.0,0.2,0.504,0.488,0.0,1.6931
5279,ESPORTSTMNT02_3140782,1,0.4435,0.00672454,-3284.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.49,0.512,3.7381,2.0591
30478,ESPORTSTMNT03_3115173,0,0.7213,-0.170138,-1094.0,0.0,0.0,0.0,2.0,1.0,0.0,0.25,0.481,0.465,4.3607,2.3279
