,gameid,result,ckpm,gspd,golddiffat15,firstblood,firsttower,firsttothreetowers,turretplates,firstherald,firstdragon,dragons,minionkills,monsterkills,wpm,wcpm,gd10,cspm,csd10,egpm
11303,ESPORTSTMNT03_3099980,1,0.4223,0.0962783,877.0,1.0,1.0,0.0,7.0,0.0,0.0,0.167,0.519,0.442,2.93,2.2437,87.0,33.3392,-2.0,248.289
15959,ESPORTSTMNT03_3102521,1,0.6352,0.0998231,531.0,1.0,0.0,0.0,2.0,1.0,0.0,0.571,0.51,0.547,3.8355,2.0765,-206.0,32.101,-4.0,237.342
31367,ESPORTSTMNT03_3115587,0,0.6287,-0.0482881,-2159.0,0.0,1.0,0.0,2.0,1.0,1.0,0.6,0.497,0.43,3.1936,1.9866,-1665.0,32.9673,-17.0,206.258
2723,ESPORTSTMNT04_2664200,1,0.4229,0.00736445,501.0,1.0,1.0,1.0,3.0,1.0,1.0,0.5,0.505,0.476,3.6476,1.8767,674.0,34.7048,-2.0,241.501
42874,ESPORTSTMNT03_3129548,1,0.9893,0.110001,606.0,1.0,1.0,0.0,7.0,1.0,0.0,0.333,0.519,0.468,3.658,1.9325,1540.0,30.7822,-4.0,258.06
1522,ESPORTSTMNT04_2663029,0,0.667,0.0367534,10.0,0.0,1.0,0.0,4.0,1.0,0.0,0.667,0.51,0.553,3.0782,2.1548,-199.0,34.425,13.0,236.306
1498,ESPORTSTMNT04_2665017,0,0.6951,-0.109822,3081.0,1.0,1.0,1.0,6.0,1.0,1.0,0.833,0.503,0.508,3.6492,1.7129,2346.0,33.3637,17.0,226.525
25763,ESPORTSTMNT02_3163041,1,0.4713,0.0708647,-3024.0,0.0,0.0,0.0,1.0,0.0,1.0,0.667,0.501,0.497,0.0,2.2624,-803.0,31.414,-8.0,234.886
41291,ESPORTSTMNT01_3325205,1,0.6369,0.175553,1058.0,0.0,0.0,0.0,4.0,0.0,1.0,0.833,0.523,0.573,4.535,2.293,-629.0,34.7006,-5.0,256.606
25762,ESPORTSTMNT02_3163041,0,0.4713,-0.0708647,3024.0,1.0,1.0,1.0,6.0,1.0,0.0,0.333,0.499,0.503,0.0,2.0974,803.0,31.414,8.0,189.445
